country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd,cpi_country,cpi_match_found,alias_applied,cpi_needs_quantified,cpi_data_coverage,cpi_thematic_coverage,ndc_publication_year,ndc_source_url,adaptation_need_2024_2035_usd_bn,conditional_need_all_objectives_usd_bn,unconditional_need_all_objectives_usd_bn,unspecified_need_all_objectives_usd_bn,classified_total_need_all_objectives_usd_bn,conditional_share_all_objectives,external_support_gap_proxy_2024_2035_usd_bn
Niger,NER,Global South & Climate-Vulnerable Coalition,27032417,24776754234,3.2,61.5,False,True,False,0.11837639231445712,2.275046289793473,916.5571185883971,Niger,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDN_Niger_R%C3%A9vis%C3%A9e_2021.pdf,5.307686866442779,5.7425031537070526,2.056561393438388,0.0,7.7990645471454405,0.7363066581887546,3.9080851793428257
Palau,PLW,Global South & Climate-Vulnerable Coalition,17719,,0.2,11.4,False,True,False,11.287318697443423,643.3771657542751,,Palau,True,False,Yes,Partially costed,Mitigation only,2016.0,https://unfccc.int/sites/default/files/NDC/2022-06/Palau_INDC.Final%20Copy.pdf,,0.0,0.0,0.0023275168363144963,0.0023275168363144963,0.0,
Papua New Guinea,PNG,Global South & Climate-Vulnerable Coalition,10576509,,8.3,209.7,False,True,False,0.7847579952893721,19.82695802556401,,Papua New Guinea,True,False,Yes,Fully costed,Both mitigation and adaptation,2020.0,https://unfccc.int/sites/default/files/NDC/2022-06/PNG%20Second%20NDC.pdf,1.2543967255852908,0.0,0.0,1.4138024736619672,1.4138024736619672,0.0,0.0
Rwanda,RWA,Global South & Climate-Vulnerable Coalition,14256573,28466253314,2.0,37.3,False,True,False,0.14028616835195948,2.616337039764044,1996.7108023786643,Rwanda,True,False,Yes,Fully costed,Both mitigation and adaptation,2020.0,https://unfccc.int/sites/default/files/NDC/2022-06/Rwanda_Updated_NDC_May_2020.pdf,3.796918459673921,1.3587683512292759,2.2574077301237607,4.083262805302057,7.699438886655094,0.17647628239303714,0.6700660543127505
Saint Kitts and Nevis,KNA,Global South & Climate-Vulnerable Coalition,46867,,0.3,8.0,False,True,False,6.401092453111998,170.69579874965328,,Saint Kitts and Nevis,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/St.%20Kitts%20and%20Nevis%20Revised%20NDC_Updated.pdf,0.1000730787135107,0.6014814331438905,0.0,0.0,0.6014814331438905,1.0,0.1000730787135107
Saint Lucia,LCA,Global South & Climate-Vulnerable Coalition,179751,1749086152,0.5,16.5,True,True,True,2.781625693320204,91.79364787956673,9730.605960467536,Saint Lucia,True,False,Yes,Fully costed,Mitigation only,2025.0,https://unfccc.int/sites/default/files/2025-02/Saint%20Lucias%20Third%20Nationally%20Determined%20Contribution.pdf,,0.48371193550586106,0.0,0.0,0.48371193550586106,1.0,
Saint Vincent and the Grenadines,VCT,Global South & Climate-Vulnerable Coalition,100630,,0.3,8.0,True,True,True,2.9812183245553014,79.4991553214747,,Saint Vincent and the Grenadines,True,False,Yes,Partially costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-10/Revised%20NDC%202.0%20Final.pdf,0.045718942002089945,0.1809042898214972,0.0,0.0,0.1809042898214972,1.0,0.045718942002089945
Samoa,WSM,Global South & Climate-Vulnerable Coalition,218031,,0.2,7.8,False,True,False,0.9173007508106645,35.77472928161592,,Samoa,True,False,No,No needs quantified,,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/Samoa%27s%20Second%20NDC%20for%20UNFCCC%20Submission.pdf,,0.0,0.0,0.0,0.0,,
Sao Tome and Principe,STP,Global South & Climate-Vulnerable Coalition,235548,825238400,0.1,4.0,False,True,False,0.4245419192691086,16.981676770764345,3503.4829419056837,Sao Tome and Principe,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/NDC3.0_Sao_Tome_Principe_F.pdf,0.3936692913227955,0.0,0.0,0.5732794206167204,0.5732794206167204,0.0,0.0
Senegal,SEN,Global South & Climate-Vulnerable Coalition,18501988,51913993763,14.1,300.6,False,True,False,0.7620802694283447,16.246902765259602,2805.860308794925,Senegal,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDNSenegal%20approuv%C3%A9e-pdf-.pdf,3.0895427931225754,5.856010686788535,3.343593347655306,0.0,9.19960403444384,0.636550297693607,1.9666493846993136
Seychelles,SYC,Global South & Climate-Vulnerable Coalition,130436,3053368129,0.7,16.1,False,True,False,5.36661657824527,123.43218129964121,23408.93717225306,Seychelles,True,False,No,No needs quantified,,2025.0,https://unfccc.int/sites/default/files/2025-09/ICTU%20Update%202025%20for%20Seychelles%20new%20NDC%203.0.pdf,,0.0,0.0,0.0,0.0,,
Sierra Leone,SLE,Global South & Climate-Vulnerable Coalition,8642029,11681270534,1.4,42.6,False,True,False,0.16199899352339595,4.929397945783334,1351.6814782732156,Sierra Leone,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/210804%202125%20SL%20NDC%20%281%29.pdf,,1.9778688335172963,0.0,0.0,1.9778688335172963,1.0,
Solomon Islands,SLB,Global South & Climate-Vulnerable Coalition,819206,,0.3,11.6,False,True,False,0.36620825531063006,14.160052538677695,,Solomon Islands,True,False,Yes,Partially costed,Adaptation only,2025.0,https://unfccc.int/sites/default/files/2025-08/Solomon%20Islands%20NDC3.0_0.pdf,0.011118722289623914,0.0,0.0,2.1018186399966856,2.1018186399966856,0.0,0.0
Somalia,SOM,Global South & Climate-Vulnerable Coalition,19009155,,1.3,41.9,False,True,False,0.06838810036532397,2.2042010810054418,,Somalia,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-06/Somalia%20NDC%203.0_submitted%20final.pdf,5.635386596364941,4.652291979151862,0.26067511796672727,6.015513854129861,10.92848095124845,0.42570344404730764,2.39900348261059
