country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd,cpi_country,cpi_match_found,alias_applied,cpi_needs_quantified,cpi_data_coverage,cpi_thematic_coverage,ndc_publication_year,ndc_source_url,adaptation_need_2024_2035_usd_bn,conditional_need_all_objectives_usd_bn,unconditional_need_all_objectives_usd_bn,unspecified_need_all_objectives_usd_bn,classified_total_need_all_objectives_usd_bn,conditional_share_all_objectives,external_support_gap_proxy_2024_2035_usd_bn,scenario,finance_instrument_group,adaptation_need_annual_average_usd_bn,external_support_gap_proxy_annual_average_usd_bn
Malawi,MWI,Global South & Climate-Vulnerable Coalition,21655288.0,26465351444.0,1.9,57.6,False,True,False,0.0877383851925682,2.6598584142589097,1222.1195785528228,Malawi,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/Malawi%20Updated%20NDC%20July%202021%20submitted.pdf,2.936300956176839,13.93002678068386,7.62757131307806,0.3212817444208373,21.878879838182755,0.6366882986565585,1.8695084601318577,74-country LDC+AOSIS coalition,Grant-priority,0.24469174634806992,0.1557923716776548
Sudan,SDN,Global South & Climate-Vulnerable Coalition,50448960.0,,17.8,517.0,False,True,False,0.3528318522324345,10.247981326076893,,Sudan,True,False,Yes,Fully costed,Both mitigation and adaptation,2022.0,https://unfccc.int/sites/default/files/NDC/2022-10/Sudan%20Updated%20First%20NDC-12102021.pdf,2.75499095840868,5.890671576524742,0.0,0.0,5.890671576524742,1.0,2.75499095840868,74-country LDC+AOSIS coalition,Grant-priority,0.22958257986738997,0.22958257986738997
Burkina Faso,BFA,Global South & Climate-Vulnerable Coalition,23548782.0,37320442404.0,6.5,95.8,False,True,False,0.2760227683962593,4.068150955747945,1584.8141277115733,Burkina Faso,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/documents/497293,1.9215450076454048,1.8079064944223568,1.1188806109330265,0.0,2.926787105355383,0.6177102841249648,1.1869581126315505,74-country LDC+AOSIS coalition,Grant-priority,0.16012875063711707,0.09891317605262921
Benin,BEN,Global South & Climate-Vulnerable Coalition,14462721.0,33290362034.0,6.1,128.4,False,True,False,0.4217740216381136,8.877997439071112,2301.804897847369,Benin,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/documents/497266,1.8343970877998912,3.4438005171456285,4.37413066319319,0.0,7.817931180338819,0.4405002343594918,0.8080523470842214,74-country LDC+AOSIS coalition,Grant-priority,0.15286642398332426,0.06733769559035178
Togo,TGO,Global South & Climate-Vulnerable Coalition,8406554.0,14265660408.0,2.8,76.6,False,True,False,0.3330734567338769,9.111938137791062,1696.9688659586318,Togo,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/sites/default/files/NDC/2022-06/CDN%20Revis%C3%A9es_Togo_Document%20int%C3%A9rimaire_rv_11%2010%2021.pdf,1.5957122305723208,3.285675467556493,0.8625041449077193,0.0005467004057866,4.148726312869999,0.791972094510986,1.2637595574831584,74-country LDC+AOSIS coalition,Grant-priority,0.13297601921436006,0.10531329645692987
Lesotho,LSO,Global South & Climate-Vulnerable Coalition,2337428.0,4761723180.0,2.6,72.3,False,True,False,1.112333727498772,30.93143403775432,2037.163574664118,Lesotho,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-02/Lesotho%20SECOND%20NDC.pdf ,1.4254772166184506,0.0,0.0,2.375795361030751,2.375795361030751,0.0,0.0,74-country LDC+AOSIS coalition,Grant-priority,0.11878976805153756,0.0
Papua New Guinea,PNG,Global South & Climate-Vulnerable Coalition,10576509.0,,8.3,209.7,False,True,False,0.7847579952893721,19.82695802556401,,Papua New Guinea,True,False,Yes,Fully costed,Both mitigation and adaptation,2020.0,https://unfccc.int/sites/default/files/NDC/2022-06/PNG%20Second%20NDC.pdf,1.2543967255852908,0.0,0.0,1.4138024736619672,1.4138024736619672,0.0,0.0,74-country LDC+AOSIS coalition,Grant-priority,0.1045330604654409,0.0
Vanuatu,VUT,Global South & Climate-Vulnerable Coalition,327786.0,,0.2,5.5,False,True,False,0.6101541859627928,16.7792401139768,,Vanuatu,True,False,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/Vanuatu%20NDC%203.0.pdf,1.2030990170693034,1.5732212256264448,0.1450614129372207,0.0,1.7182826385636656,0.915577676406904,1.101530602535743,74-country LDC+AOSIS coalition,Grant-priority,0.10025825142244195,0.09179421687797858
Burundi,BDI,Global South & Climate-Vulnerable Coalition,14047788.0,9177077459.0,0.9,16.7,False,True,False,0.0640670260684457,1.188799261492272,653.2756231087769,Burundi,True,False,Yes,Fully costed,Both mitigation and adaptation,2021.0,https://unfccc.int/documents/497263,1.1613959791045156,1.4514178523545802,0.3220084895419168,1.076292028053898,2.849718369950395,0.5093197516145587,0.5915219116036591,74-country LDC+AOSIS coalition,Grant-priority,0.09678299825870963,0.049293492633638254
Micronesia (country),FSM,Global South & Climate-Vulnerable Coalition,113171.0,,0.2,4.9,False,True,False,1.7672371897394208,43.29731114861581,,Micronesia (Federated States of),True,True,Yes,Fully costed,Both mitigation and adaptation,2025.0,https://unfccc.int/sites/default/files/2025-09/FSM%20NDC%203.0.pdf,1.1046498110648582,0.0,0.0,1.3327261657238103,1.3327261657238103,0.0,0.0,74-country LDC+AOSIS coalition,Grant-priority,0.09205415092207152,0.0
