country,iso3,original_bloc,population_2024,gdp_2022_ppp_2011_intl_usd,co2_2024_mt,cumulative_co2_through_2024_mt,loan_eligible,member_74_country_ldc_aosis_coalition,member_20_country_selected_coalition,co2_per_capita_2024_t,cumulative_co2_per_capita_t,gdp_per_capita_2022_ppp_2011_intl_usd
Mali,MLI,Global South & Climate-Vulnerable Coalition,24478597,30551085997,7.0,100.2,False,True,False,0.2859641016190593,4.093371854604249,1248.0734086598181
Marshall Islands,MHL,Global South & Climate-Vulnerable Coalition,37572,,0.2,4.0,False,True,False,5.323112956456936,106.46225912913872,
Mauritania,MRT,Global South & Climate-Vulnerable Coalition,5169403,15674544913,5.2,99.9,False,True,False,1.0059188652925686,19.325248969755307,3032.1770063196855
Mauritius,MUS,Global South & Climate-Vulnerable Coalition,1271171,26988574640,4.7,133.2,False,True,True,3.6973782441544056,104.78527279178016,21231.269939292197
Micronesia (country),FSM,Global South & Climate-Vulnerable Coalition,113171,,0.2,4.9,False,True,False,1.7672371897394208,43.29731114861581,
Mozambique,MOZ,Global South & Climate-Vulnerable Coalition,34631767,31441725629,8.6,211.2,False,True,False,0.24832691903938947,6.098447128037099,907.8868435734163
Myanmar,MMR,Global South & Climate-Vulnerable Coalition,54500086,291025085135,31.6,727.9,False,True,False,0.5798155988230917,13.355942227320522,5339.901392724408
Nauru,NRU,Global South & Climate-Vulnerable Coalition,11968,,0.1,5.1,False,True,False,8.355614973262032,426.1363636363636,
Nepal,NPL,Global South & Climate-Vulnerable Coalition,29651054,95965910597,18.8,232.1,False,True,False,0.6340415419971243,7.827714994549604,3236.5092518127685
Niger,NER,Global South & Climate-Vulnerable Coalition,27032417,24776754234,3.2,61.5,False,True,False,0.11837639231445712,2.275046289793473,916.5571185883971
Palau,PLW,Global South & Climate-Vulnerable Coalition,17719,,0.2,11.4,False,True,False,11.287318697443423,643.3771657542751,
Papua New Guinea,PNG,Global South & Climate-Vulnerable Coalition,10576509,,8.3,209.7,False,True,False,0.7847579952893721,19.82695802556401,
Rwanda,RWA,Global South & Climate-Vulnerable Coalition,14256573,28466253314,2.0,37.3,False,True,False,0.14028616835195948,2.616337039764044,1996.7108023786643
Saint Kitts and Nevis,KNA,Global South & Climate-Vulnerable Coalition,46867,,0.3,8.0,False,True,False,6.401092453111998,170.69579874965328,
Saint Lucia,LCA,Global South & Climate-Vulnerable Coalition,179751,1749086152,0.5,16.5,True,True,True,2.781625693320204,91.79364787956673,9730.605960467536
Saint Vincent and the Grenadines,VCT,Global South & Climate-Vulnerable Coalition,100630,,0.3,8.0,True,True,True,2.9812183245553014,79.4991553214747,
Samoa,WSM,Global South & Climate-Vulnerable Coalition,218031,,0.2,7.8,False,True,False,0.9173007508106645,35.77472928161592,
Sao Tome and Principe,STP,Global South & Climate-Vulnerable Coalition,235548,825238400,0.1,4.0,False,True,False,0.4245419192691086,16.981676770764345,3503.4829419056837
Senegal,SEN,Global South & Climate-Vulnerable Coalition,18501988,51913993763,14.1,300.6,False,True,False,0.7620802694283447,16.246902765259602,2805.860308794925
Seychelles,SYC,Global South & Climate-Vulnerable Coalition,130436,3053368129,0.7,16.1,False,True,False,5.36661657824527,123.43218129964121,23408.93717225306
Sierra Leone,SLE,Global South & Climate-Vulnerable Coalition,8642029,11681270534,1.4,42.6,False,True,False,0.16199899352339595,4.929397945783334,1351.6814782732156
Solomon Islands,SLB,Global South & Climate-Vulnerable Coalition,819206,,0.3,11.6,False,True,False,0.36620825531063006,14.160052538677695,
Somalia,SOM,Global South & Climate-Vulnerable Coalition,19009155,,1.3,41.9,False,True,False,0.06838810036532397,2.2042010810054418,
South Sudan,SSD,Global South & Climate-Vulnerable Coalition,11943410,,1.7,45.5,False,True,False,0.14233790852026348,3.8096322574541106,
Sudan,SDN,Global South & Climate-Vulnerable Coalition,50448960,,17.8,517.0,False,True,False,0.3528318522324345,10.247981326076891,
Suriname,SUR,Global South & Climate-Vulnerable Coalition,634438,,3.0,128.8,False,True,False,4.728594441064375,203.01432133636385,
Tanzania,TZA,Global South & Climate-Vulnerable Coalition,68560162,198220407805,20.0,344.9,False,True,False,0.291714596590364,5.030618218200826,2891.18931494065
